排名,代號,名稱,市場,股本(億),市值(億),上市年數,產業別,董事長
239,8926,台汽電,上市,58.9,162,11.7,油電燃氣業,蔡富豐
240,9939,宏全,上市,26,161,14.2,其他業,戴宏全
241,3698,隆達,上市,62.3,160,3.6,光電業,蘇峰正
242,4123,晟德,上櫃,20.8,160,11.6,生技醫療業,林榮錦
243,3176,基亞,上櫃,13.9,159,3.5,生技醫療業,張世忠
244,2820,華票,上市,134,159,20.6,銀行業,吳正慶
245,5306,桂盟,上櫃,10.9,158,19.4,其他業,吳盈進
246,9925,新保,上市,38.4,157,19.5,其他業,林伯峰
247,3030,德律,上市,23.6,157,12.6,其他電子業,陳玠源
248,2107,厚生,上市,49.7,156,23.2,橡膠工業,徐正材
249,4401,東隆興,上櫃,12,156,19,紡織纖維,游秀雄
250,1718,中纖,上市,136,153,51.5,化學工業,王貴賢
251,2504,國產,上市,152,152,37.2,建材營造業,林明昇
252,2023,燁輝,上市,167,151,19.8,鋼鐵工業,林義守
253,6412,群電,上市,35.9,151,1.5,電子零組件業,許崑泰
254,5263,智崴,上櫃,3.97,150,2.4,文化創意業,黃仲銘
255,1234,黑松,上市,40.2,148,16.2,食品工業,張斌堂
256,3374,精材,上櫃,26.8,148,0.1,半導體業,關欣
257,4532,瑞智,上市,46.8,147,11.8,電機機械,陳盛沺
258,6244,茂迪,上櫃,44.1,146,12,光電業,曾永輝
259,2489,瑞軒,上市,83.4,146,13.7,光電業,吳春發
260,5388,中磊,上市,23,145,7.5,通信網路業,王伯元
261,6279,胡連,上櫃,9.71,145,11.5,電子零組件業,張子雄
262,1904,正隆,上市,111,144,43.7,造紙工業,鄭舒云
263,8942,森鉅,上櫃,15.5,143,12,其他業,鄭憲得
264,6271,同欣電,上市,16.3,142,7.5,半導體業,楊惠捷
